DeviceTag: 5,FirmwareVersion: 2.4.0,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2023-08-10 15:40:58.082,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10490988,0.9999,-0.0077,0.0083,0.0070,-0.0090,-0.0091,0.1487,0
10491154,0.9999,-0.0077,0.0083,0.0070,-0.0133,-0.0157,0.1702,0
10491321,0.9999,-0.0077,0.0083,0.0070,0.0089,-0.0009,0.1744,0
10491488,0.9999,-0.0077,0.0083,0.0070,0.0127,0.0021,0.1602,0
10491654,0.9999,-0.0077,0.0083,0.0070,0.0175,0.0082,0.1623,0
10491821,0.9999,-0.0077,0.0083,0.0070,-0.0049,0.0102,0.1564,0
10491988,0.9999,-0.0077,0.0083,0.0070,-0.0059,0.0093,0.1718,0
10492154,0.9999,-0.0077,0.0083,0.0070,-0.0198,-0.0058,0.1586,0
10492321,0.9999,-0.0077,0.0083,0.0070,-0.0155,0.0024,0.1739,0
10492488,0.9999,-0.0077,0.0083,0.0070,0.0081,0.0004,0.1709,0
10492654,0.9999,-0.0077,0.0083,0.0070,0.0030,0.0018,0.1833,0
10492821,0.9999,-0.0077,0.0083,0.0070,0.0047,0.0181,0.1481,0
10492988,0.9999,-0.0077,0.0083,0.0070,-0.0090,0.0163,0.1840,0
10493154,0.9999,-0.0077,0.0083,0.0070,-0.0170,-0.0061,0.1801,0
10493321,0.9999,-0.0077,0.0083,0.0070,-0.0081,-0.0079,0.1572,0
10493488,0.9999,-0.0077,0.0083,0.0070,-0.0110,-0.0041,0.1550,0
10493654,0.9999,-0.0077,0.0083,0.0070,-0.0022,0.0095,0.1670,0
10493821,0.9999,-0.0077,0.0083,0.0070,0.0174,0.0136,0.1948,0
10493988,0.9999,-0.0077,0.0083,0.0070,0.0135,0.0150,0.1744,0
10494154,0.9999,-0.0077,0.0083,0.0069,0.0106,0.0123,0.1738,0
10494321,0.9999,-0.0077,0.0083,0.0069,-0.0007,-0.0041,0.1765,0
10494488,0.9999,-0.0077,0.0083,0.0070,-0.0189,-0.0084,0.1549,0
10494655,0.9999,-0.0077,0.0083,0.0069,-0.0014,-0.0029,0.1684,0
10494821,0.9999,-0.0077,0.0083,0.0069,0.0057,0.0078,0.1733,0
10494988,0.9999,-0.0077,0.0083,0.0069,0.0224,0.0071,0.1741,0
10495155,0.9999,-0.0077,0.0083,0.0069,-0.0069,0.0031,0.1926,0
10495321,0.9999,-0.0077,0.0083,0.0069,0.0030,0.0004,0.1952,0
10495488,0.9999,-0.0077,0.0083,0.0069,-0.0126,-0.0199,0.1691,0
10495655,0.9999,-0.0077,0.0083,0.0069,-0.0018,-0.0130,0.1652,0
10495821,0.9999,-0.0077,0.0083,0.0069,-0.0017,-0.0066,0.1838,0
10495988,0.9999,-0.0076,0.0083,0.0069,0.0071,0.0287,0.1539,0
10496155,0.9999,-0.0076,0.0083,0.0069,0.0171,0.0121,0.1730,0
10496321,0.9999,-0.0076,0.0083,0.0069,-0.0046,0.0098,0.1795,0
10496488,0.9999,-0.0076,0.0083,0.0069,0.0128,0.0126,0.1660,0
10496655,0.9999,-0.0076,0.0083,0.0069,0.0067,0.0046,0.1824,0
10496821,0.9999,-0.0076,0.0083,0.0069,-0.0012,-0.0087,0.1498,0
10496988,0.9999,-0.0076,0.0083,0.0069,0.0008,0.0014,0.1842,0
10497155,0.9999,-0.0076,0.0083,0.0069,-0.0046,0.0034,0.1552,0
10497321,0.9999,-0.0076,0.0083,0.0069,0.0140,0.0074,0.2027,0
10497488,0.9999,-0.0076,0.0083,0.0069,0.0076,0.0015,0.1567,0
